year,date,tournament_id,tournament_name,match_name,stage,home_team,away_team,home_team_code,away_team_code,home_goals,away_goals,score,result,home_team_win,away_team_win,draw,extra_time,penalty_shootout,score_penalties,stadium,stadium_id,stadium_name,city,host_country,host_team,attendance,match_time,referee,notes
2026,2026-06-11,WC-2026,2026 FIFA World Cup,,Group Stage,Mexico,South Africa,,,,,,,,,,,,,Estadio Azteca,,,Mexico City,Mexico,,,,,
2026,2026-06-12,WC-2026,2026 FIFA World Cup,,Group Stage,South Korea,Winner UEFA Playoff D,,,,,,,,,,,,,Estadio Akron,,,Guadalajara,Mexico,,,,,
2026,2026-06-12,WC-2026,2026 FIFA World Cup,,Group Stage,Canada,Winner UEFA Playoff A,,,,,,,,,,,,,BMO Field,,,Toronto,Canada,,,,,
2026,2026-06-13,WC-2026,2026 FIFA World Cup,,Group Stage,USA,Paraguay,,,,,,,,,,,,,SoFi Stadium,,,Los Angeles,USA,,,,,
2026,2026-06-13,WC-2026,2026 FIFA World Cup,,Group Stage,Brazil,Morocco,,,,,,,,,,,,,MetLife Stadium,,,New York/New Jersey,USA,,,,,
2026,2026-06-13,WC-2026,2026 FIFA World Cup,,Group Stage,Qatar,Switzerland,,,,,,,,,,,,,Levi's Stadium,,,San Francisco Bay Area,USA,,,,,
2026,2026-06-14,WC-2026,2026 FIFA World Cup,,Group Stage,Haiti,Scotland,,,,,,,,,,,,,Gillette Stadium,,,Boston,USA,,,,,
2026,2026-06-14,WC-2026,2026 FIFA World Cup,,Group Stage,Australia,Winner UEFA Playoff C,,,,,,,,,,,,,BC Place,,,Vancouver,Canada,,,,,
2026,2026-06-14,WC-2026,2026 FIFA World Cup,,Group Stage,Germany,Curaçao,,,,,,,,,,,,,NRG Stadium,,,Houston,USA,,,,,
2026,2026-06-14,WC-2026,2026 FIFA World Cup,,Group Stage,Netherlands,Japan,,,,,,,,,,,,,AT&T Stadium,,,Dallas,USA,,,,,
2026,2026-06-14,WC-2026,2026 FIFA World Cup,,Group Stage,Côte d'Ivoire,Ecuador,,,,,,,,,,,,,Lincoln Financial Field,,,Philadelphia,USA,,,,,
2026,2026-06-15,WC-2026,2026 FIFA World Cup,,Group Stage,Winner UEFA Playoff B,Tunisia,,,,,,,,,,,,,Estadio BBVA,,,Monterrey,Mexico,,,,,
2026,2026-06-15,WC-2026,2026 FIFA World Cup,,Group Stage,Spain,Cabo Verde,,,,,,,,,,,,,Mercedes-Benz Stadium,,,Atlanta,USA,,,,,
2026,2026-06-15,WC-2026,2026 FIFA World Cup,,Group Stage,Belgium,Egypt,,,,,,,,,,,,,Lumen Field,,,Seattle,USA,,,,,
2026,2026-06-15,WC-2026,2026 FIFA World Cup,,Group Stage,Saudi Arabia,Uruguay,,,,,,,,,,,,,Hard Rock Stadium,,,Miami,USA,,,,,
2026,2026-06-16,WC-2026,2026 FIFA World Cup,,Group Stage,IR Iran,New Zealand,,,,,,,,,,,,,SoFi Stadium,,,Los Angeles,USA,,,,,
2026,2026-06-16,WC-2026,2026 FIFA World Cup,,Group Stage,France,Senegal,,,,,,,,,,,,,MetLife Stadium,,,New York/New Jersey,USA,,,,,
2026,2026-06-16,WC-2026,2026 FIFA World Cup,,Group Stage,Winner FIFA Playoff 2,Norway,,,,,,,,,,,,,Gillette Stadium,,,Boston,USA,,,,,
2026,2026-06-17,WC-2026,2026 FIFA World Cup,,Group Stage,Argentina,Algeria,,,,,,,,,,,,,Arrowhead Stadium,,,Kansas City,USA,,,,,
2026,2026-06-17,WC-2026,2026 FIFA World Cup,,Group Stage,Austria,Jordan,,,,,,,,,,,,,Levi's Stadium,,,San Francisco Bay Area,USA,,,,,
2026,2026-06-17,WC-2026,2026 FIFA World Cup,,Group Stage,Portugal,Winner FIFA Playoff 1,,,,,,,,,,,,,NRG Stadium,,,Houston,USA,,,,,
2026,2026-06-17,WC-2026,2026 FIFA World Cup,,Group Stage,England,Croatia,,,,,,,,,,,,,AT&T Stadium,,,Dallas,USA,,,,,
2026,2026-06-17,WC-2026,2026 FIFA World Cup,,Group Stage,Ghana,Panama,,,,,,,,,,,,,BMO Field,,,Toronto,Canada,,,,,
2026,2026-06-18,WC-2026,2026 FIFA World Cup,,Group Stage,Uzbekistan,Colombia,,,,,,,,,,,,,Estadio Azteca,,,Mexico City,Mexico,,,,,
2026,2026-06-18,WC-2026,2026 FIFA World Cup,,Group Stage,Winner UEFA Playoff D,South Africa,,,,,,,,,,,,,Mercedes-Benz Stadium,,,Atlanta,USA,,,,,
2026,2026-06-18,WC-2026,2026 FIFA World Cup,,Group Stage,Switzerland,Winner UEFA Playoff A,,,,,,,,,,,,,SoFi Stadium,,,Los Angeles,USA,,,,,
2026,2026-06-19,WC-2026,2026 FIFA World Cup,,Group Stage,Canada,Qatar,,,,,,,,,,,,,BC Place,,,Vancouver,Canada,,,,,
2026,2026-06-19,WC-2026,2026 FIFA World Cup,,Group Stage,Mexico,South Korea,,,,,,,,,,,,,Estadio Akron,,,Guadalajara,Mexico,,,,,
2026,2026-06-19,WC-2026,2026 FIFA World Cup,,Group Stage,Scotland,Morocco,,,,,,,,,,,,,Gillette Stadium,,,Boston,USA,,,,,
2026,2026-06-19,WC-2026,2026 FIFA World Cup,,Group Stage,USA,Australia,,,,,,,,,,,,,Lumen Field,,,Seattle,USA,,,,,
2026,2026-06-20,WC-2026,2026 FIFA World Cup,,Group Stage,Brazil,Haiti,,,,,,,,,,,,,Lincoln Financial Field,,,Philadelphia,USA,,,,,
2026,2026-06-20,WC-2026,2026 FIFA World Cup,,Group Stage,Winner UEFA Playoff C,Paraguay,,,,,,,,,,,,,Levi's Stadium,,,San Francisco Bay Area,USA,,,,,
2026,2026-06-20,WC-2026,2026 FIFA World Cup,,Group Stage,Netherlands,Winner UEFA Playoff B,,,,,,,,,,,,,NRG Stadium,,,Houston,USA,,,,,
2026,2026-06-20,WC-2026,2026 FIFA World Cup,,Group Stage,Germany,Côte d'Ivoire,,,,,,,,,,,,,BMO Field,,,Toronto,Canada,,,,,
2026,2026-06-21,WC-2026,2026 FIFA World Cup,,Group Stage,Ecuador,Curaçao,,,,,,,,,,,,,Arrowhead Stadium,,,Kansas City,USA,,,,,
2026,2026-06-21,WC-2026,2026 FIFA World Cup,,Group Stage,Tunisia,Japan,,,,,,,,,,,,,Estadio BBVA,,,Monterrey,Mexico,,,,,
2026,2026-06-21,WC-2026,2026 FIFA World Cup,,Group Stage,Spain,Saudi Arabia,,,,,,,,,,,,,Mercedes-Benz Stadium,,,Atlanta,USA,,,,,
2026,2026-06-21,WC-2026,2026 FIFA World Cup,,Group Stage,Belgium,IR Iran,,,,,,,,,,,,,SoFi Stadium,,,Los Angeles,USA,,,,,
2026,2026-06-21,WC-2026,2026 FIFA World Cup,,Group Stage,Uruguay,Cabo Verde,,,,,,,,,,,,,Hard Rock Stadium,,,Miami,USA,,,,,
2026,2026-06-22,WC-2026,2026 FIFA World Cup,,Group Stage,New Zealand,Egypt,,,,,,,,,,,,,BC Place,,,Vancouver,Canada,,,,,
2026,2026-06-22,WC-2026,2026 FIFA World Cup,,Group Stage,Argentina,Austria,,,,,,,,,,,,,AT&T Stadium,,,Dallas,USA,,,,,
