year,date,tournament_id,tournament_name,match_name,stage,home_team,away_team,home_team_code,away_team_code,home_goals,away_goals,score,result,home_team_win,away_team_win,draw,extra_time,penalty_shootout,score_penalties,stadium,stadium_id,stadium_name,city,host_country,host_team,attendance,match_time,referee,notes
1930,1930-07-13,WC-1930,1930 FIFA World Cup,France v Mexico,Group stage,France,Mexico,FRA,MEX,4,1,4-1,home team win,1,0,no,no,no,0-0,Estadio Pocitos,S-193,Estadio Pocitos,Montevideo,Uruguay,0.0,4444,15:00,Domingo Lombardi,
1930,1930-07-13,WC-1930,1930 FIFA World Cup,United States v Belgium,Group stage,United States,Belgium,USA,BEL,3,0,3-0,home team win,1,0,no,no,no,0-0,Estadio Gran Parque Central,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,0.0,18346,15:00,Jose Macias,
1930,1930-07-14,WC-1930,1930 FIFA World Cup,Romania v Peru,Group stage,Romania,Peru,ROU,PER,3,1,3-1,home team win,1,0,no,no,no,0-0,Estadio Pocitos,S-193,Estadio Pocitos,Montevideo,Uruguay,0.0,2549,14:50,Alberto Warnken,
1930,1930-07-14,WC-1930,1930 FIFA World Cup,Yugoslavia v Brazil,Group stage,Yugoslavia,Brazil,YUG,BRA,2,1,2-1,home team win,1,0,no,no,no,0-0,Estadio Gran Parque Central,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,0.0,24059,12:45,Anibal Tejada,
1930,1930-07-15,WC-1930,1930 FIFA World Cup,Argentina v France,Group stage,Argentina,France,ARG,FRA,1,0,1-0,home team win,1,0,no,no,no,0-0,Estadio Gran Parque Central,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,0.0,23409,16:00,Gilberto Rego,
1930,1930-07-16,WC-1930,1930 FIFA World Cup,Chile v Mexico,Group stage,Chile,Mexico,CHL,MEX,3,0,3-0,home team win,1,0,no,no,no,0-0,Estadio Gran Parque Central,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,0.0,9249,14:45,Henry Cristophe,
1930,1930-07-17,WC-1930,1930 FIFA World Cup,United States v Paraguay,Group stage,United States,Paraguay,USA,PRY,3,0,3-0,home team win,1,0,no,no,no,0-0,Estadio Gran Parque Central,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,0.0,18306,14:45,Jose Macias,
1930,1930-07-17,WC-1930,1930 FIFA World Cup,Yugoslavia v Bolivia,Group stage,Yugoslavia,Bolivia,YUG,BOL,4,0,4-0,home team win,1,0,no,no,no,0-0,Estadio Gran Parque Central,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,0.0,18306,12:45,Francisco Mateucci,
1930,1930-07-18,WC-1930,1930 FIFA World Cup,Uruguay v Peru,Group stage,Uruguay,Peru,URY,PER,1,0,1-0,home team win,1,0,no,no,no,0-0,Estadio Centenario,S-191,Estadio Centenario,Montevideo,Uruguay,1.0,57735,14:30,Jean Langenus,
1930,1930-07-19,WC-1930,1930 FIFA World Cup,Argentina v Mexico,Group stage,Argentina,Mexico,ARG,MEX,6,3,6-3,home team win,1,0,no,no,no,0-0,Estadio Centenario,S-191,Estadio Centenario,Montevideo,Uruguay,0.0,42100,15:00,Ulises Saucedo,
1930,1930-07-19,WC-1930,1930 FIFA World Cup,Chile v France,Group stage,Chile,France,CHL,FRA,1,0,1-0,home team win,1,0,no,no,no,0-0,Estadio Centenario,S-191,Estadio Centenario,Montevideo,Uruguay,0.0,2000,12:50,Anibal Tejada,
1930,1930-07-20,WC-1930,1930 FIFA World Cup,Brazil v Bolivia,Group stage,Brazil,Bolivia,BRA,BOL,4,0,4-0,home team win,1,0,no,no,no,0-0,Estadio Centenario,S-191,Estadio Centenario,Montevideo,Uruguay,0.0,25466,13:00,Thomas Balway,
1930,1930-07-20,WC-1930,1930 FIFA World Cup,Paraguay v Belgium,Group stage,Paraguay,Belgium,PRY,BEL,1,0,1-0,home team win,1,0,no,no,no,0-0,Estadio Centenario,S-191,Estadio Centenario,Montevideo,Uruguay,0.0,12000,15:00,Ricardo Vallarino,
