goal_id,tournament_id,tournament_name,year,match_id,match_name,match_date,match_time,team_id,home_team,away_team,player_id,player_name,given_name,family_name,minute_label,minute_regulation,minute_stoppage,match_period,own_goal,penalty
G-0001,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-01,France vs Mexico,-14417.0,15:00,T-30,1,0,P-05470,Lucien Laurent,Lucien,Laurent,19',19,0,first half,0,0
G-0002,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-01,France vs Mexico,-14417.0,15:00,T-30,1,0,P-99087,Marcel Langiller,Marcel,Langiller,40',40,0,first half,0,0
G-0003,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-01,France vs Mexico,-14417.0,15:00,T-30,1,0,P-60620,André Maschinot,André,Maschinot,43',43,0,first half,0,0
G-0004,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-01,France vs Mexico,-14417.0,15:00,T-46,0,1,P-94135,Juan Carreño,Juan,Carreño,70',70,0,second half,0,0
G-0005,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-01,France vs Mexico,-14417.0,15:00,T-30,1,0,P-60620,André Maschinot,André,Maschinot,87',87,0,second half,0,0
G-0006,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-02,United States vs Belgium,-14417.0,15:00,T-83,1,0,P-65185,Bart McGhee,Bart,McGhee,23',23,0,first half,0,0
G-0007,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-02,United States vs Belgium,-14417.0,15:00,T-83,1,0,P-37361,Tom Florie,Tom,Florie,45',45,0,first half,0,0
G-0008,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-02,United States vs Belgium,-14417.0,15:00,T-83,1,0,P-71973,Bert Patenaude,Bert,Patenaude,69',69,0,second half,0,0
G-0009,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-03,Yugoslavia vs Brazil,-14416.0,12:45,T-87,1,0,P-43349,Aleksandar Tirnanić,Aleksandar,Tirnanić,21',21,0,first half,0,0
G-0010,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-03,Yugoslavia vs Brazil,-14416.0,12:45,T-87,1,0,P-43734,Ivan Bek,Ivan,Bek,30',30,0,first half,0,0
G-0011,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-03,Yugoslavia vs Brazil,-14416.0,12:45,T-09,0,1,P-91171,not applicable Preguinho,not applicable,Preguinho,62',62,0,second half,0,0
G-0012,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-04,Romania vs Peru,-14416.0,14:50,T-61,1,0,P-91295,Adalbert Deşu,Adalbert,Deşu,1',1,0,first half,0,0
G-0013,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-04,Romania vs Peru,-14416.0,14:50,T-56,0,1,P-44010,Luis Souza Ferreira,Luis,Souza Ferreira,75',75,0,second half,0,0
G-0014,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-04,Romania vs Peru,-14416.0,14:50,T-61,1,0,P-18615,Constantin Stanciu,Constantin,Stanciu,79',79,0,second half,0,0
G-0015,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-04,Romania vs Peru,-14416.0,14:50,T-61,1,0,P-70294,Miklós Kovács,Miklós,Kovács,89',89,0,second half,0,0
G-0016,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-05,Argentina vs France,-14415.0,16:00,T-03,1,0,P-25760,Luis Monti,Luis,Monti,81',81,0,second half,0,0
G-0017,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-06,Chile vs Mexico,-14414.0,14:45,T-13,1,0,P-61338,Carlos Vidal,Carlos,Vidal,3',3,0,first half,0,0
G-0018,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-06,Chile vs Mexico,-14414.0,14:45,T-13,1,0,P-89481,Manuel Rosas,Manuel,Rosas,52',52,0,second half,1,0
G-0019,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-06,Chile vs Mexico,-14414.0,14:45,T-13,1,0,P-61338,Carlos Vidal,Carlos,Vidal,65',65,0,second half,0,0
G-0020,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-07,Yugoslavia vs Bolivia,-14413.0,12:45,T-87,1,0,P-43734,Ivan Bek,Ivan,Bek,60',60,0,second half,0,0
G-0021,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-07,Yugoslavia vs Bolivia,-14413.0,12:45,T-87,1,0,P-75929,Blagoje Marjanović,Blagoje,Marjanović,65',65,0,second half,0,0
G-0022,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-07,Yugoslavia vs Bolivia,-14413.0,12:45,T-87,1,0,P-43734,Ivan Bek,Ivan,Bek,67',67,0,second half,0,0
G-0023,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-07,Yugoslavia vs Bolivia,-14413.0,12:45,T-87,1,0,P-33565,Đorđe Vujadinović,Đorđe,Vujadinović,85',85,0,second half,0,0
G-0024,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-08,United States vs Paraguay,-14413.0,14:45,T-83,1,0,P-71973,Bert Patenaude,Bert,Patenaude,10',10,0,first half,0,0
G-0025,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-08,United States vs Paraguay,-14413.0,14:45,T-83,1,0,P-71973,Bert Patenaude,Bert,Patenaude,15',15,0,first half,0,0
G-0026,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-08,United States vs Paraguay,-14413.0,14:45,T-83,1,0,P-71973,Bert Patenaude,Bert,Patenaude,50',50,0,second half,0,0
G-0027,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-09,Uruguay vs Peru,-14412.0,14:30,T-84,1,0,P-54697,Héctor Castro,Héctor,Castro,65',65,0,second half,0,0
G-0028,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-10,Chile vs France,-14411.0,12:50,T-13,1,0,P-08459,Guillermo Subiabre,Guillermo,Subiabre,67',67,0,second half,0,0
G-0029,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-11,Argentina vs Mexico,-14411.0,15:00,T-03,1,0,P-56486,Guillermo Stábile,Guillermo,Stábile,8',8,0,first half,0,0
G-0030,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-11,Argentina vs Mexico,-14411.0,15:00,T-03,1,0,P-76546,Adolfo Zumelzú,Adolfo,Zumelzú,12',12,0,first half,0,0
G-0031,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-11,Argentina vs Mexico,-14411.0,15:00,T-03,1,0,P-56486,Guillermo Stábile,Guillermo,Stábile,17',17,0,first half,0,0
G-0032,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-11,Argentina vs Mexico,-14411.0,15:00,T-46,0,1,P-89481,Manuel Rosas,Manuel,Rosas,42',42,0,first half,0,1
G-0033,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-11,Argentina vs Mexico,-14411.0,15:00,T-03,1,0,P-37326,Francisco Varallo,Francisco,Varallo,53',53,0,second half,0,0
G-0034,WC-1930,1930 FIFA Men's World Cup,1930,M-1930-11,Argentina vs Mexico,-14411.0,15:00,T-03,1,0,P-76546,Adolfo Zumelzú,Adolfo,Zumelzú,55',55,0,second half,0,0
