team_initials,team_name,confederation,rank,previous_rank,points,previous_points
BRA,Brazil,CONMEBOL,1,1,1841.3,1837.56
BEL,Belgium,UEFA,2,2,1816.71,1821.92
ARG,Argentina,CONMEBOL,3,3,1773.88,1770.65
FRA,France,UEFA,4,4,1759.78,1764.85
ENG,England,UEFA,5,5,1728.47,1737.46
ITA,Italy,UEFA,6,7,1726.14,1713.86
ESP,Spain,UEFA,7,6,1715.22,1716.93
NED,Netherlands,UEFA,8,8,1694.51,1679.41
POR,Portugal,UEFA,9,9,1676.56,1678.65
DEN,Denmark,UEFA,10,10,1666.57,1665.47
GER,Germany,UEFA,11,11,1650.21,1658.96
CRO,Croatia,UEFA,12,15,1645.64,1632.15
MEX,Mexico,CONCACAF,13,12,1644.89,1649.57
URU,Uruguay,CONMEBOL,14,13,1638.71,1640.95
SUI,Switzerland,UEFA,15,16,1635.92,1621.43
USA,USA,CONCACAF,16,14,1627.48,1635.01
COL,Colombia,CONMEBOL,17,17,1611.04,1604.07
SEN,Senegal,CAF,18,18,1584.38,1584.59
WAL,Wales,UEFA,19,19,1569.82,1582.13
IRN,IR Iran,AFC,20,22,1564.61,1558.64
SRB,Serbia,UEFA,21,25,1563.62,1549.53
MAR,Morocco,CAF,22,23,1563.5,1558.35
PER,Peru,CONMEBOL,23,21,1561.01,1562.24
JPN,Japan,AFC,24,24,1559.54,1554.69
SWE,Sweden,UEFA,25,20,1553.33,1563.44
POL,Poland,UEFA,26,26,1548.59,1546.18
UKR,Ukraine,UEFA,27,27,1536.99,1542.79
KOR,Korea Republic,AFC,28,28,1530.3,1526.02
CHI,Chile,CONMEBOL,29,29,1509.61,1514.86
TUN,Tunisia,CAF,30,30,1507.54,1507.86
CRC,Costa Rica,CONCACAF,31,34,1503.59,1500.06
NGA,Nigeria,CAF,32,31,1498.47,1504.7
RUS,Russia,UEFA,33,35,1496.11,1493.42
AUT,Austria,UEFA,34,33,1492.95,1502.47
CZE,Czechia,UEFA,35,32,1492.21,1502.9
HUN,Hungary,UEFA,36,37,1492.2,1486.76
ALG,Algeria,CAF,37,41,1489.1,1480.59
AUS,Australia,AFC,38,39,1488.72,1483.73
EGY,Egypt,CAF,39,40,1486.44,1482.63
SCO,Scotland,UEFA,40,45,1479.53,1462.96
CAN,Canada,CONCACAF,41,43,1475.0,1473.82
NOR,Norway,UEFA,42,36,1473.04,1488.57
CMR,Cameroon,CAF,43,38,1471.44,1484.95
ECU,Ecuador,CONMEBOL,44,44,1464.39,1463.74
TUR,Türkiye,UEFA,45,42,1460.14,1475.13
MLI,Mali,CAF,46,46,1448.85,1442.88
PAR,Paraguay,CONMEBOL,47,50,1448.77,1440.13
CIV,Côte d'Ivoire,CAF,48,52,1443.06,1435.91
IRL,Republic of Ireland,UEFA,49,47,1440.19,1442.48
QAT,Qatar,AFC,50,48,1439.89,1441.97
KSA,Saudi Arabia,AFC,51,53,1437.78,1435.74
GRE,Greece,UEFA,52,49,1437.6,1441.45
ROU,Romania,UEFA,53,54,1434.68,1427.84
BFA,Burkina Faso,CAF,54,55,1432.25,1425.64
SVK,Slovakia,UEFA,55,51,1425.59,1439.99
FIN,Finland,UEFA,56,59,1405.6,1398.41
VEN,Venezuela,CONMEBOL,57,56,1404.37,1405.17
BIH,Bosnia and Herzegovina,UEFA,58,57,1403.51,1403.98
NIR,Northern Ireland,UEFA,59,58,1396.55,1399.1
PAN,Panama,CONCACAF,60,61,1393.28,1389.27
GHA,Ghana,CAF,61,60,1393.0,1393.47
ISL,Iceland,UEFA,62,63,1384.41,1379.61
SVN,Slovenia,UEFA,63,65,1384.04,1372.48
JAM,Jamaica,CONCACAF,64,62,1378.86,1382.06
MKD,North Macedonia,UEFA,65,64,1358.51,1375.2
ALB,Albania,UEFA,66,66,1354.11,1361.81
RSA,South Africa,CAF,67,68,1349.59,1350.55
IRQ,Iraq,AFC,68,70,1343.01,1338.91
MNE,Montenegro,UEFA,69,67,1341.03,1354.59
UAE,United Arab Emirates,AFC,70,69,1337.57,1346.09
CPV,Cabo Verde,CAF,71,73,1336.05,1331.46
BUL,Bulgaria,UEFA,72,74,1335.36,1325.16
COD,Congo DR,CAF,73,72,1333.92,1332.84
SLV,El Salvador,CONCACAF,74,71,1330.51,1333.48
OMA,Oman,AFC,75,75,1320.29,1323.03
ISR,Israel,UEFA,76,76,1316.55,1316.35
UZB,Uzbekistan,AFC,77,77,1309.98,1306.63
GEO,Georgia,UEFA,78,82,1307.34,1296.46
CHN,China PR,AFC,79,78,1305.06,1305.06
HON,Honduras,CONCACAF,80,80,1301.98,1299.69
GAB,Gabon,CAF,81,79,1301.84,1301.84
BOL,Bolivia,CONMEBOL,82,81,1296.28,1298.81
GUI,Guinea,CAF,83,83,1290.47,1294.89
JOR,Jordan,AFC,84,86,1289.99,1279.74
BHR,Bahrain,AFC,85,85,1280.64,1289.25
CUW,Curaçao,CONCACAF,86,84,1278.64,1293.35
HAI,Haiti,CONCACAF,87,88,1269.07,1269.07
ZAM,Zambia,CAF,88,87,1267.41,1270.8
UGA,Uganda,CAF,89,90,1260.69,1264.56
SYR,Syria,AFC,90,89,1255.92,1265.03
BEN,Benin,CAF,91,91,1247.47,1258.71
LUX,Luxembourg,UEFA,92,93,1243.8,1235.36
ARM,Armenia,UEFA,93,92,1233.93,1242.42
PLE,Palestine,AFC,94,94,1233.72,1233.72
KGZ,Kyrgyz Republic,AFC,95,95,1230.22,1232.91
VIE,Vietnam,AFC,96,97,1226.65,1218.84
BLR,Belarus,UEFA,97,96,1221.06,1226.55
EQG,Equatorial Guinea,CAF,98,98,1215.66,1215.33
LBN,Lebanon,AFC,99,100,1211.71,1211.71
CGO,Congo,CAF,100,99,1208.79,1215.09
KEN,Kenya,CAF,101,102,1202.26,1202.26
MAD,Madagascar,CAF,102,105,1200.74,1193.78
MTN,Mauritania,CAF,103,107,1197.58,1181.86
TRI,Trinidad and Tobago,CONCACAF,104,101,1195.29,1205.85
NZL,New Zealand,OFC,105,103,1193.98,1198.96
IND,India,AFC,106,104,1192.09,1198.65
KOS,Kosovo,UEFA,107,106,1187.01,1183.9
TJK,Tajikistan,AFC,108,109,1185.7,1179.1
EST,Estonia,UEFA,109,110,1184.64,1177.4
CYP,Cyprus,UEFA,110,108,1183.82,1180.52
THA,Thailand,AFC,111,111,1174.92,1170.69
PRK,Korea DPR,AFC,112,112,1169.96,1169.96
KAZ,Kazakhstan,UEFA,113,114,1166.63,1166.28
MOZ,Mozambique,CAF,114,116,1165.22,1165.41
NAM,Namibia,CAF,115,117,1164.13,1164.13
GNB,Guinea-Bissau,CAF,116,115,1160.71,1165.53
SLE,Sierra Leone,CAF,117,113,1160.31,1169.71
GUA,Guatemala,CONCACAF,118,118,1156.7,1161.96
ANG,Angola,CAF,119,120,1155.9,1149.08
LBY,Libya,CAF,120,121,1154.25,1148.36
NIG,Niger,CAF,121,119,1152.8,1155.23
FRO,Faroe Islands,UEFA,122,125,1147.17,1136.29
AZE,Azerbaijan,UEFA,123,128,1146.72,1127.17
MWI,Malawi,CAF,124,122,1144.97,1144.77
ZIM,Zimbabwe,CAF,125,123,1138.56,1138.56
